ch	pt	fine_thr	a_fit	b_fit
 8	 6	 1	218.781	0.475
 8	 6	 2	217.846	0.503
 8	 6	 3	216.725	0.776
 8	 6	 4	215.963	0.744
 8	 6	 5	214.822	0.542
 8	 6	 6	213.854	0.719
 8	 6	 7	212.689	1.299
 8	 7	 0	219.857	0.485
 8	 7	 1	218.807	0.490
 8	 7	 2	217.835	0.547
 8	 7	 3	216.804	0.793
 8	 7	 4	215.906	0.771
 8	 7	 5	214.839	0.546
 8	 7	 6	213.851	0.782
 8	 7	 7	212.766	1.185
 9	 0	 0	218.101	0.452
 9	 0	 1	217.084	0.588
 9	 0	 2	216.027	0.585
 9	 0	 3	214.866	0.662
 9	 0	 4	213.934	0.657
 9	 0	 5	212.798	0.580
 9	 0	 6	211.866	0.584
 9	 0	 7	210.691	0.623
 9	 1	 0	218.106	0.343
 9	 1	 1	216.968	0.525
 9	 1	 2	215.978	0.537
 9	 1	 3	214.859	0.616
 9	 1	 4	213.878	0.646
 9	 1	 5	212.777	0.469
 9	 1	 6	211.821	0.528
 9	 1	 7	210.742	0.783
 9	 2	 0	218.040	0.348
 9	 2	 1	216.934	0.478
 9	 2	 2	216.002	0.474
 9	 2	 3	214.911	0.687
 9	 2	 4	213.867	0.596
 9	 2	 5	212.791	0.472
 9	 2	 6	211.780	0.509
 9	 2	 7	210.702	0.977
 9	 3	 0	217.953	0.369
 9	 3	 1	216.928	0.435
 9	 3	 2	216.064	0.465
 9	 3	 3	214.839	0.626
 9	 3	 4	213.888	0.619
 9	 3	 5	212.815	0.461
 9	 3	 6	211.833	0.533
 9	 3	 7	210.726	0.991
 9	 4	 0	218.034	0.374
 9	 4	 1	216.900	0.416
 9	 4	 2	216.096	0.444
 9	 4	 3	214.898	0.637
 9	 4	 4	213.813	0.612
 9	 4	 5	212.797	0.467
 9	 4	 6	211.775	0.572
 9	 4	 7	210.690	0.911
 9	 5	 0	218.027	0.407
 9	 5	 1	216.902	0.417
 9	 5	 2	216.033	0.434
 9	 5	 3	214.857	0.630
 9	 5	 4	213.847	0.585
 9	 5	 5	212.773	0.456
